SUBTIPO,ESTRATO,NIVEL_PISO,VAL_ARRIEN,AREA_M2,ALCOBAS,BANOS,GARAJES,ESTAR,ESTUDIO,ALC_SERVIC
0,4,4,1300000,90,3,2,1,0,0,0
0,4,1,360000,28,1,1,0,0,0,0
1,4,0,3000000,340,4,3,2,0,0,0
0,4,5,900000,85,3,2,1,0,0,0
0,4,5,700000,60,1,1,1,0,0,0
0,4,5,900000,70,3,2,1,0,0,0
0,4,5,750000,45,1,1,1,0,0,0
0,4,3,1000000,80,3,2,1,0,0,0
0,4,5,1100000,72,3,2,1,0,0,0
0,4,5,700000,40,1,1,1,0,0,0
1,4,0,1280000,100,4,2,0,0,0,0
1,4,0,1300000,200,4,2,1,0,0,0
0,4,4,800000,78,2,3,1,0,0,0
0,4,3,850000,90,3,2,0,0,0,0
0,4,3,1200000,75,3,2,1,0,0,0
0,4,3,1150000,57,2,2,1,0,0,0
0,4,3,1250000,57,2,2,1,0,0,0
0,4,3,1100000,72,3,1,1,0,0,0
0,4,4,1200000,74,3,2,1,0,0,0
0,4,2,850000,65,3,2,1,0,0,1
0,4,5,850000,54,2,1,0,0,0,0
0,4,5,900000,54,2,1,1,0,0,0
0,4,1,1200000,68,3,2,1,0,0,0
0,4,3,750000,70,2,2,1,0,0,0
0,4,4,850000,72,3,3,1,0,1,1
0,4,4,1200000,74,3,3,1,0,0,0
0,4,2,1250000,78,4,2,1,0,0,0
0,4,3,800000,58,2,2,1,0,0,0
0,4,3,830000,65,3,2,1,0,0,0
1,4,0,890000,31,1,1,0,0,0,0
0,4,3,900000,95,3,2,1,0,0,0
0,4,5,880000,80,3,2,1,0,0,0
0,4,4,1400000,96,3,2,1,0,0,0
0,4,4,1400000,80,3,2,0,0,0,0
0,4,3,1100000,62,2,2,1,0,0,0
0,4,3,1100000,65,2,2,1,0,0,0
0,4,4,2000000,146,4,3,1,0,0,1
0,4,2,1250000,82,3,2,1,0,0,0
0,4,2,550000,42,2,1,0,0,0,0
0,4,4,800000,78,3,2,0,0,0,0
0,4,4,1000000,55,2,1,0,0,0,0
0,4,2,570000,45,2,1,0,0,0,0
0,4,3,900000,60,2,1,0,0,0,0
0,4,1,1800000,120,3,2,1,0,0,0
0,4,3,700000,68,2,1,1,0,0,0
0,4,6,750000,60,2,1,1,0,0,0
0,4,4,900000,60,2,1,1,0,0,0
0,4,6,950000,47,2,1,1,0,0,0
0,4,6,850000,47,2,1,1,0,0,0
1,4,0,800000,130,4,2,0,0,0,0
0,4,1,1050000,146,5,4,1,0,0,1
0,4,1,600000,60,3,2,1,0,0,0
0,4,2,900000,170,3,3,1,0,0,0
0,4,3,1000000,94,3,3,1,0,0,1
0,4,2,1150000,60,2,2,1,0,0,0
0,4,12,1000000,40,1,1,1,0,0,0
0,4,7,780000,35,1,1,0,0,0,0
0,4,10,1000000,40,1,1,1,0,0,0
0,4,9,1000000,35,1,1,0,0,0,0
0,4,12,730000,48,2,1,1,0,0,0
0,4,10,650000,40,1,1,1,0,0,0
0,4,8,580000,40,1,1,0,0,0,0
0,4,10,900000,48,1,2,1,0,0,0
0,4,4,950000,42,2,1,1,0,0,0
0,4,10,900000,48,1,1,1,0,0,0
0,4,7,780000,35,1,1,0,0,0,0
0,4,4,960000,60,2,2,1,0,0,0
0,4,7,950000,58,2,2,1,0,0,0
0,4,10,820000,30,1,1,1,0,0,0
0,4,5,800000,42,1,1,1,0,0,0
0,4,5,650000,40,1,1,1,0,0,0
0,4,4,760000,60,2,2,1,0,0,0
0,4,11,730000,29,1,1,0,0,0,0
0,4,6,1300000,70,2,2,1,0,0,0
0,4,10,980000,50,1,1,1,0,0,0
0,4,9,650000,35,1,1,1,0,0,0
0,4,12,1100000,40,1,1,0,0,0,0
0,4,10,700000,40,1,1,1,0,0,0
0,4,0,1000000,60,2,2,1,0,0,0
0,4,9,650000,35,1,1,1,0,0,0
0,4,6,870000,60,2,2,1,0,0,0
0,4,3,750000,58,2,2,0,0,0,0
0,4,9,760000,35,1,1,1,0,0,0
0,4,7,620000,40,1,1,0,0,0,0
0,4,12,850000,58,2,2,1,0,0,0
0,4,10,800000,45,1,1,1,0,0,0
0,4,7,760000,65,2,2,1,0,0,0
0,4,5,700000,40,1,1,1,0,0,0
0,4,8,580000,40,1,1,0,0,0,0
0,4,0,1000000,38,1,1,1,0,0,0
1,4,0,1300000,150,3,2,1,0,0,1
1,4,0,1600000,135,4,2,1,0,0,0
0,4,2,1200000,130,3,3,0,0,0,1
0,4,3,950000,125,3,2,0,0,0,0
0,4,3,750000,125,3,2,0,0,0,0
0,4,3,670000,35,1,1,0,0,0,0
0,4,0,950000,90,3,2,0,0,0,0
0,4,3,660000,45,1,1,0,0,0,0
0,4,2,650000,30,1,1,1,0,0,0
0,4,2,550000,40,1,1,0,0,0,0
0,4,3,650000,47,1,1,0,0,0,0
0,4,2,650000,35,1,1,0,0,0,0
0,4,1,880000,65,2,2,0,0,0,0
0,4,2,600000,38,1,1,0,0,0,0
0,4,0,900000,68,2,2,0,0,0,0
0,4,1,470000,35,1,1,0,0,0,0
0,4,4,1100000,85,3,2,1,0,0,0
0,4,1,500000,30,1,1,0,0,0,0
0,4,0,700000,45,2,2,0,0,0,0
0,4,4,470000,40,1,1,0,0,0,0
0,4,4,700000,40,1,1,0,0,0,0
0,4,3,600000,30,1,1,0,0,0,0
0,4,4,650000,55,2,1,0,0,0,0
0,4,3,450000,37,1,1,0,0,0,0
0,4,4,700000,35,1,1,1,0,0,0
